Song_name,Song_release_date,Popularity_of_song,Duration_ms,Album_type,Track_id,Album_id
"Tauba Tauba (From ""Bad Newz"")",2024-07-02,81,0 days 00:03:27.157000,single,16kiQQ4BoLHDyj5W2fkfNK,72nKBrp0K6Nv6Q76TmEWLY
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",2024-05-14,80,0 days 00:04:41.511000,single,34Fh4HXZmnuBdtgejWUZg2,1C3FmwSQAbjnZR6GRgnWQc
"Soni Soni (From ""Ishq Vishk Rebound"")",2024-05-24,79,0 days 00:02:56.875000,single,36N5awamOX6XX5pQn3aFXZ,3vBso6gFPmEwstdMXn3Ahi
"Jaanam (From ""Bad Newz"")",2024-07-09,70,0 days 00:03:18.035000,single,7bzR0C8NhnBA79iTXUCJ7o,75lhBPvfb1RqeiuRZ6hOHN
"Taras (From ""Munjya"")",2024-05-27,73,0 days 00:03:08.814000,single,6t9KM2EQD4H2KbrTgHGYf3,0sEowDRNDEVD8T31onRthr
"Sajni (From ""Laapataa Ladies"")",2024-02-12,84,0 days 00:02:50.044000,single,5zCnGtCl5Ac5zlFHXaZmhy,3I3kZyHUtEA9Y59rJkxtk6
Mr. And Mrs. Mahi (Original Motion Picture Soundtrack),2024-05-24,76,0 days 00:04:43.539000,album,6egfWbtFFhMToV2DvmEzmo,3PI3er7mHLniPndwdo0mlA
"Mere Mehboob Mere Sanam (From ""Bad Newz"")",2024-07-13,65,0 days 00:03:02.369000,single,3yxUi5nDZSWcYKi1C2xmLd,2pyoVGd8LlX9pVdkUPyYMt
"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",2024-05-29,73,0 days 00:04:20.262000,single,2ZDOzySC2g3YF1p26TPzBt,7i3rOAK3iPA96QAekZeOrh
Munjya (Original Motion Picture Soundtrack),2024-06-17,66,0 days 00:03:08.166000,single,1bfWK1SIBYXzWA0Ypt4KlD,5ePim81cUsLymwQDqPsO6M
nadaaniyan,2024-05-19,77,0 days 00:02:51.063000,single,3bmsaFp11I9pbicxzlStf3,5iB4wggqDR2cQSduJGBfUy
Dost Banke,2024-04-09,71,0 days 00:04:49.820000,single,2k0D2OXWXwuwBPXLQQYmZx,4Ira2DDLEUgXmL6t4UA95V
Paon Ki Jutti,2024-05-06,76,0 days 00:03:28.965000,single,0TrsGqtFXMWCrF9pPMICY9,0kvLQHTVY3ocSh0K64f7I3
Ek Tha Raja,2024-03-18,80,0 days 00:03:33.599000,album,1tf2iody5iRLYYPDSBpzRc,0LcyzKKw3RjFKL6ygISTeU
"Satranga (From ""ANIMAL"")",2023-10-27,80,0 days 00:04:31.169000,single,3yHyiUDJdz02FZ6jfUbsmY,5mZX4EMwEyohNmVfLTDtXn
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-02-02,78,0 days 00:04:24.089000,single,2ceeTJAzKy295Fm0VsaXtE,3vVIhgkDoC0vRBba5drHPe
Tu Hai,2024-04-18,73,0 days 00:02:44.100000,single,2fsBaSK1551VvUD9Uvbb9Q,3pFzzo6Z1oD7qaxk4DBJpY
"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",2024-05-20,71,0 days 00:04:13.223000,single,0a17mIL7XTvYqe9mxuPd3y,08PRzEfce7mwprUTvMmfh2
"Ishq (From ""Lost;Found"")",2024-03-09,74,0 days 00:03:48.639000,single,7hDoxkN20lLb06zifzYnD2,49shWTH1llwLbKQ1bq1cvJ
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-19,78,0 days 00:02:51.147000,single,0M0ANKNzmM4Odd7FNKghzW,1VZDqgb1ALde0CFMIvEGNr
"Naina (From ""Crew"")",2024-03-05,80,0 days 00:03:00,single,1eZefeDb8uOsjvcbl1fJrG,4mGz0G0d2mqGmaFc67MEEm
ANIMAL,2023-11-24,80,0 days 00:04:10.158000,album,7yDHHVKLbvDmVw1XXhDDIO,0a183xiCHiC1GQd8ou7WXO
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-06-28,73,0 days 00:04:37.500000,single,06LCamFUOtImIKi9mFRKiD,5FtQVEQsWzRcpqh820ZoII
Kahani Meri,2024-04-17,70,0 days 00:02:19.318000,single,2dMlTWQbY9tfPFLIqAa7Tv,35slzJUJmUi2jQ8SZ7xSEc
Teri Baaton Mein Aisa Uljha Jiya,2024-02-05,68,0 days 00:02:33.083000,single,2qBBAuIg8FUBYiJ3QRrVsP,0KvWbswDD0ksvFayBl6gUz
Ek Tha Raja,2024-03-18,69,0 days 00:03:28.163000,album,3YVbYgFSd2Whua4QUiIjUc,0LcyzKKw3RjFKL6ygISTeU
"Chaleya (From ""Jawan"")",2023-08-14,74,0 days 00:03:20.373000,single,4nc6XiUze2Yh7wFueGOPv7,7zAITOBN6eG4UBm4IapAik
"Hua Main (From ""ANIMAL"")",2023-10-11,72,0 days 00:04:37.021000,single,54PRUdMOYzglMGnsg9kIta,1Vkdf3mTQV4RakJBz0HbgT
"O Maahi (From ""Dunki"")",2023-12-11,74,0 days 00:03:53.453000,single,0qQ4IdhjzNr0gJhdMTf2n3,011VDmbOf50dqxmLnkdsoC
Amar Singh Chamkila,2024-03-29,65,0 days 00:04:18.148000,single,1pbj0csFgmhGh7AuSMsOCZ,3XBoJ6awI7H0aRvMWDszp3
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",2023-03-17,77,0 days 00:03:43.390000,single,0645eBDehHcqfiF15hscQV,0kZKLq2WZQWvXvbxvK6YoC
Husn,2023-12-01,78,0 days 00:03:37.894000,single,0TL0LFcwIBF5eX7arDIKxY,2SarxpD48O1DOiDIccyZ0W
Heeriye (feat. Arijit Singh),2023-07-25,78,0 days 00:03:14.857000,single,5PUXKVVVQ74C3gl5vKy9Li,1wt2WZBZZ9GhM0AC61l7SS
Daaku,2024-02-22,67,0 days 00:02:40.396000,single,1uCBFWAcZOJGAj1CFQHZDj,2tpXdOI6g9KNdQIXFWB1kW
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-18,72,0 days 00:04:06.988000,single,6EivvaEepVTjmDde43eGiB,1hvEqSYJOEoLoe0IRTy7PX
"Choli Ke Peeche (From ""Crew"")",2024-03-20,71,0 days 00:02:53.400000,single,1ErMeReQpwGuroEk5zekr3,5snDdFszQnoAqgQfNntKcx
Yimmy Yimmy,2024-03-08,70,0 days 00:03:31.869000,single,4dvfxZKehPxpz3UZ7A5Fni,4c7DjheRUBNo8aiN6Z6iWC
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,69,0 days 00:03:33.611000,single,4uNxdQ1L4Xa52MWX864QhW,2140eUTm2dUfKj1FL7DDAe
Saanware,2024-02-12,70,0 days 00:03:15.681000,single,4LzjjNaJfnbPtJFYfMC8dc,5na4ciNJa3xQdvcjyUsyy5
Sadqay,2024-02-01,72,0 days 00:02:34.455000,single,2lX53kXvYnvpV8Vqfe4S7s,6DCDw6OlKLmVlVrp9J6YWD
"Dil Se Dil Tak (From ""Bawaal"")",2023-07-14,72,0 days 00:05:01.035000,single,1kTEGyqUJFgstwdgJFLqz1,1vaX8lnpErNywb6HwJBOsw
Gadar 2 (Original Motion Picture Soundtrack),2023-08-05,73,0 days 00:05:04.133000,album,11qnwt18ZckPqchzK2I3U7,5Oxg8wfDhPIrEBM9Yz7ilI
Dil Haareya,2023-12-07,66,0 days 00:03:59.835000,single,4vrpvlcDM3uze5PoOgZpoV,1H8GL20MLKD7SwymXBFnZG
ANIMAL,2023-11-24,73,0 days 00:03:02.348000,album,0YxKKO272sacGBJKjf6FnB,0a183xiCHiC1GQd8ou7WXO
Dard,2023-08-09,75,0 days 00:02:39.600000,album,26elzgFl8tvajnDfeoY1YF,0YzF0ImdBeODiCWejSDndM
Malang Sajna,2022-12-19,75,0 days 00:02:41.041000,single,73K33p4Vyz9koXGqmL5eFs,7khRLZe8P6XcUoRgOa3nnf
Dunki,2023-12-20,67,0 days 00:03:42.997000,album,2pIoyDWZV5OSW0xd6n41xV,6mOSDGo8ZREISAbaiTMW5J
Mahiye Jinna Sohna,2023-06-22,70,0 days 00:03:01.250000,single,2ncqKdTj6dz7tWoTMMrAtq,4fiPkVR8M247hQBOYLkwBq
NEW LIFE,2023-10-18,71,0 days 00:03:46.029000,album,4u0D2jZ20wQaEMHBSqsDnZ,1ERhZcW27LyJkW1w0hy8Tt
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023-05-22,68,0 days 00:03:09.136000,single,46hzNOUOAlivuCZZ0wE3zi,4qOiFNt1NMuyLEY8fxigSd
